date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-05,SP,Areiópolis,city,135,4,True,11158,3503604,1209.89425,0.0296
2020-11-05,SP,Ariranha,city,162,7,True,9761,3503703,1659.66602,0.0432
2020-11-05,SP,Artur Nogueira,city,1193,29,True,55340,3503802,2155.76437,0.0243
2020-11-05,SP,Arujá,city,2238,94,True,91157,3503901,2455.10493,0.042
2020-11-05,SP,Aspásia,city,48,1,True,1818,3503950,2640.26403,0.0208
2020-11-05,SP,Assis,city,1548,26,True,105087,3504008,1473.06517,0.0168
2020-11-05,SP,Atibaia,city,2360,66,True,144088,3504107,1637.88796,0.028
2020-11-05,SP,Auriflama,city,486,14,True,15253,3504206,3186.25844,0.0288
2020-11-05,SP,Avaí,city,110,2,True,5436,3504305,2023.54673,0.0182
2020-11-05,SP,Avanhandava,city,239,7,True,13859,3504404,1724.51115,0.0293
2020-11-05,SP,Avaré,city,858,19,True,91232,3504503,940.45949,0.0221
2020-11-05,SP,Bady Bassitt,city,974,22,True,17761,3504602,5483.92545,0.0226
2020-11-05,SP,Balbinos,city,105,3,True,5934,3504701,1769.46411,0.0286
2020-11-05,SP,Bálsamo,city,560,23,True,9139,3504800,6127.58507,0.0411
2020-11-05,SP,Bananal,city,145,1,True,10993,3504909,1319.0212,0.0069
2020-11-05,SP,Barão de Antonina,city,23,0,True,3498,3505005,657.51858,0.0
2020-11-05,SP,Barbosa,city,124,1,True,7468,3505104,1660.41778,0.0081
2020-11-05,SP,Bariri,city,1033,28,True,35558,3505203,2905.11277,0.0271
2020-11-05,SP,Barra Bonita,city,1061,25,True,36126,3505302,2936.94292,0.0236
2020-11-05,SP,Barra do Chapéu,city,51,0,True,5760,3505351,885.41667,0.0
2020-11-05,SP,Barra do Turvo,city,142,4,True,7632,3505401,1860.587,0.0282
2020-11-05,SP,Barretos,city,5352,146,True,122833,3505500,4357.1353,0.0273
2020-11-05,SP,Barrinha,city,753,31,True,33180,3505609,2269.43942,0.0412
2020-11-05,SP,Barueri,city,7827,386,True,276982,3505708,2825.8154,0.0493
2020-11-05,SP,Bastos,city,170,4,True,20953,3505807,811.33966,0.0235
2020-11-05,SP,Batatais,city,733,23,True,62980,3505906,1163.86154,0.0314
2020-11-05,SP,Bauru,city,14063,250,True,379297,3506003,3707.64862,0.0178
2020-11-05,SP,Bebedouro,city,1402,33,True,77555,3506102,1807.74934,0.0235
2020-11-05,SP,Bento de Abreu,city,41,0,True,3005,3506201,1364.39268,0.0
2020-11-05,SP,Bernardino de Campos,city,114,3,True,11158,3506300,1021.68847,0.0263
2020-11-05,SP,Bertioga,city,2032,45,True,64723,3506359,3139.53309,0.0221
2020-11-05,SP,Bilac,city,112,2,True,8117,3506409,1379.82013,0.0179
2020-11-05,SP,Birigui,city,2807,88,True,124883,3506508,2247.70385,0.0314
2020-11-05,SP,Biritiba Mirim,city,468,31,True,32936,3506607,1420.93758,0.0662
2020-11-05,SP,Boa Esperança do Sul,city,203,6,True,15018,3506706,1351.71128,0.0296
2020-11-05,SP,Bocaina,city,171,3,True,12452,3506805,1373.27337,0.0175
2020-11-05,SP,Bofete,city,163,4,True,11921,3506904,1367.33496,0.0245
2020-11-05,SP,Boituva,city,1224,21,True,62170,3507001,1968.79524,0.0172
2020-11-05,SP,Bom Jesus dos Perdões,city,368,3,True,25985,3507100,1416.20165,0.0082
2020-11-05,SP,Bom Sucesso de Itararé,city,9,1,True,3984,3507159,225.90361,0.1111
2020-11-05,SP,Borá,city,5,0,True,838,3507209,596.65871,0.0
2020-11-05,SP,Boracéia,city,116,2,True,4868,3507308,2382.90879,0.0172
2020-11-05,SP,Borborema,city,254,6,True,16164,3507407,1571.39322,0.0236
2020-11-05,SP,Borebi,city,49,2,True,2683,3507456,1826.31383,0.0408
2020-11-05,SP,Botucatu,city,2671,52,True,148130,3507506,1803.14589,0.0195
2020-11-05,SP,Bragança Paulista,city,4114,87,True,170533,3507605,2412.4363,0.0211
2020-11-05,SP,Braúna,city,108,7,True,5741,3507704,1881.20536,0.0648
2020-11-05,SP,Brejo Alegre,city,92,5,True,2889,3507753,3184.4929,0.0543
2020-11-05,SP,Brodowski,city,574,22,True,25277,3507803,2270.8391,0.0383
2020-11-05,SP,Brotas,city,140,3,True,24636,3507902,568.27407,0.0214
2020-11-05,SP,Buri,city,301,10,True,19965,3508009,1507.63837,0.0332
2020-11-05,SP,Buritama,city,421,14,True,17281,3508108,2436.20161,0.0333
2020-11-05,SP,Buritizal,city,59,3,True,4514,3508207,1307.04475,0.0508
2020-11-05,SP,Cabrália Paulista,city,102,0,True,4243,3508306,2403.95946,0.0
2020-11-05,SP,Cabreúva,city,1232,40,True,50429,3508405,2443.03873,0.0325
2020-11-05,SP,Caçapava,city,1593,60,True,95018,3508504,1676.52445,0.0377
2020-11-05,SP,Cachoeira Paulista,city,413,15,True,33581,3508603,1229.86212,0.0363
2020-11-05,SP,Caconde,city,175,1,True,19009,3508702,920.61655,0.0057
2020-11-05,SP,Cafelândia,city,346,10,True,17843,3508801,1939.1358,0.0289
2020-11-05,SP,Caiabu,city,39,2,True,4193,3508900,930.12163,0.0513
2020-11-05,SP,Caieiras,city,2397,101,True,102775,3509007,2332.27925,0.0421
2020-11-05,SP,Caiuá,city,60,1,True,5946,3509106,1009.08174,0.0167
2020-11-05,SP,Cajamar,city,1640,77,True,77934,3509205,2104.3447,0.047
2020-11-05,SP,Cajati,city,1796,34,True,28494,3509254,6303.08135,0.0189
2020-11-05,SP,Cajobi,city,229,7,True,10596,3509304,2161.1929,0.0306
2020-11-05,SP,Cajuru,city,484,12,True,26393,3509403,1833.81957,0.0248
2020-11-05,SP,Campina do Monte Alegre,city,85,0,True,6057,3509452,1403.33498,0.0
2020-11-05,SP,Campinas,city,34173,1333,True,1213792,3509502,2815.39176,0.039
2020-11-05,SP,Campo Limpo Paulista,city,1332,71,True,85541,3509601,1557.14803,0.0533
2020-11-05,SP,Campos do Jordão,city,942,30,True,52405,3509700,1797.5384,0.0318
2020-11-05,SP,Campos Novos Paulista,city,118,2,True,4997,3509809,2361.41685,0.0169
2020-11-05,SP,Cananéia,city,205,8,True,12541,3509908,1634.63839,0.039
2020-11-05,SP,Canas,city,52,2,True,5204,3509957,999.23136,0.0385
2020-11-05,SP,Cândido Mota,city,389,6,True,31346,3510005,1240.98769,0.0154
2020-11-05,SP,Cândido Rodrigues,city,49,1,True,2799,3510104,1750.62522,0.0204
2020-11-05,SP,Canitar,city,48,1,True,5292,3510153,907.02948,0.0208
2020-11-05,SP,Capão Bonito,city,785,21,True,47118,3510203,1666.02997,0.0268
2020-11-05,SP,Capela do Alto,city,348,5,True,20985,3510302,1658.32738,0.0144
2020-11-05,SP,Capivari,city,1426,36,True,56379,3510401,2529.31056,0.0252
2020-11-05,SP,Caraguatatuba,city,2575,111,True,123389,3510500,2086.89591,0.0431
2020-11-05,SP,Carapicuíba,city,8741,374,True,403183,3510609,2167.99815,0.0428
2020-11-05,SP,Cardoso,city,178,8,True,12349,3510708,1441.41226,0.0449
2020-11-05,SP,Casa Branca,city,516,9,True,30520,3510807,1690.69463,0.0174
2020-11-05,SP,Cássia dos Coqueiros,city,71,0,True,2505,3510906,2834.33134,0.0
2020-11-05,SP,Castilho,city,535,8,True,21267,3511003,2515.63455,0.015
2020-11-05,SP,Catanduva,city,4589,161,True,122497,3511102,3746.21419,0.0351
2020-11-05,SP,Catiguá,city,296,8,True,7855,3511201,3768.30045,0.027
2020-11-05,SP,Cedral,city,263,9,True,9346,3511300,2814.03809,0.0342
2020-11-05,SP,Cerqueira César,city,174,6,True,20191,3511409,861.7701,0.0345
2020-11-05,SP,Cerquilho,city,796,16,True,49802,3511508,1598.32938,0.0201
2020-11-05,SP,Cesário Lange,city,190,6,True,18375,3511607,1034.01361,0.0316
2020-11-05,SP,Charqueada,city,360,8,True,17367,3511706,2072.89687,0.0222
2020-11-05,SP,Chavantes,city,117,2,True,12418,3557204,942.18071,0.0171
2020-11-05,SP,Clementina,city,168,2,True,8757,3511904,1918.46523,0.0119
2020-11-05,SP,Colina,city,315,15,True,18535,3512001,1699.48746,0.0476
2020-11-05,SP,Colômbia,city,114,2,True,6216,3512100,1833.97683,0.0175
2020-11-05,SP,Conchal,city,505,16,True,28273,3512209,1786.1564,0.0317
2020-11-05,SP,Conchas,city,312,7,True,18019,3512308,1731.50563,0.0224
2020-11-05,SP,Cordeirópolis,city,1707,24,True,24826,3512407,6875.85596,0.0141
2020-11-05,SP,Coroados,city,134,2,True,6129,3512506,2186.3273,0.0149
2020-11-05,SP,Coronel Macedo,city,36,2,True,4635,3512605,776.69903,0.0556
2020-11-05,SP,Corumbataí,city,128,2,True,4064,3512704,3149.6063,0.0156
2020-11-05,SP,Cosmópolis,city,1722,38,True,73474,3512803,2343.6862,0.0221
2020-11-05,SP,Cosmorama,city,294,21,True,7298,3512902,4028.50096,0.0714
2020-11-05,SP,Cotia,city,4555,209,True,253608,3513009,1796.07899,0.0459
2020-11-05,SP,Cravinhos,city,402,32,True,35579,3513108,1129.87999,0.0796
2020-11-05,SP,Cristais Paulista,city,77,1,True,8718,3513207,883.2301,0.013
2020-11-05,SP,Cruzália,city,23,0,True,2046,3513306,1124.14467,0.0
2020-11-05,SP,Cruzeiro,city,849,34,True,82571,3513405,1028.20603,0.04
2020-11-05,SP,Cubatão,city,6709,190,True,131626,3513504,5097.01731,0.0283
2020-11-05,SP,Cunha,city,166,2,True,21459,3513603,773.5682,0.012
2020-11-05,SP,Descalvado,city,595,7,True,33910,3513702,1754.64465,0.0118
2020-11-05,SP,Diadema,city,9200,391,True,426757,3513801,2155.79358,0.0425
2020-11-05,SP,Dirce Reis,city,19,0,True,1799,3513850,1056.1423,0.0
2020-11-05,SP,Divinolândia,city,142,6,True,11086,3513900,1280.89482,0.0423
2020-11-05,SP,Dobrada,city,148,2,True,9010,3514007,1642.61931,0.0135
2020-11-05,SP,Dois Córregos,city,309,4,True,27512,3514106,1123.14626,0.0129
2020-11-05,SP,Dolcinópolis,city,77,5,True,2112,3514205,3645.83333,0.0649
2020-11-05,SP,Dourado,city,145,1,True,8878,3514304,1633.25073,0.0069
2020-11-05,SP,Dracena,city,1041,30,True,47043,3514403,2212.86908,0.0288
2020-11-05,SP,Duartina,city,275,5,True,12433,3514502,2211.85555,0.0182
2020-11-05,SP,Dumont,city,460,5,True,10023,3514601,4589.44428,0.0109
2020-11-05,SP,Echaporã,city,33,1,True,6064,3514700,544.19525,0.0303
2020-11-05,SP,Eldorado,city,362,7,True,15544,3514809,2328.87288,0.0193
2020-11-05,SP,Elias Fausto,city,632,18,True,17936,3514908,3523.63961,0.0285
2020-11-05,SP,Elisiário,city,145,4,True,3697,3514924,3922.099,0.0276
2020-11-05,SP,Embaúba,city,53,1,True,2449,3514957,2164.14863,0.0189
2020-11-05,SP,Embu das Artes,city,3805,186,True,276535,3515004,1375.95603,0.0489
2020-11-05,SP,Embu-Guaçu,city,1302,46,True,69901,3515103,1862.6343,0.0353
2020-11-05,SP,Emilianópolis,city,61,2,True,3227,3515129,1890.30059,0.0328
2020-11-05,SP,Engenheiro Coelho,city,890,21,True,21249,3515152,4188.4324,0.0236
2020-11-05,SP,Espírito Santo do Pinhal,city,995,24,True,44471,3515186,2237.41315,0.0241
2020-11-05,SP,Espírito Santo do Turvo,city,55,0,True,4878,3515194,1127.51128,0.0
2020-11-05,SP,Estiva Gerbi,city,164,5,True,11407,3557303,1437.71368,0.0305
2020-11-05,SP,Estrela d'Oeste,city,533,13,True,8419,3515202,6330.91816,0.0244
2020-11-05,SP,Estrela do Norte,city,60,2,True,2770,3515301,2166.06498,0.0333
2020-11-05,SP,Euclides da Cunha Paulista,city,47,3,True,9325,3515350,504.02145,0.0638
2020-11-05,SP,Fartura,city,137,1,True,16070,3515400,852.52022,0.0073
2020-11-05,SP,Fernandópolis,city,2836,60,True,69402,3515509,4086.33757,0.0212
2020-11-05,SP,Fernando Prestes,city,146,3,True,5794,3515608,2519.84812,0.0205
2020-11-05,SP,Fernão,city,13,0,True,1727,3515657,752.75043,0.0
2020-11-05,SP,Ferraz de Vasconcelos,city,4626,134,True,196500,3515707,2354.19847,0.029
2020-11-05,SP,Flora Rica,city,19,1,True,1430,3515806,1328.67133,0.0526
2020-11-05,SP,Floreal,city,49,1,True,2900,3515905,1689.65517,0.0204
2020-11-05,SP,Flórida Paulista,city,61,1,True,14790,3516002,412.44084,0.0164
2020-11-05,SP,Florínea,city,28,1,True,2653,3516101,1055.40897,0.0357
2020-11-05,SP,Franca,city,6396,193,True,355901,3516200,1797.12898,0.0302
2020-11-05,SP,Francisco Morato,city,3002,135,True,177633,3516309,1690.00129,0.045
2020-11-05,SP,Franco da Rocha,city,2834,128,True,156492,3516408,1810.95519,0.0452
2020-11-05,SP,Gabriel Monteiro,city,35,4,True,2776,3516507,1260.80692,0.1143
2020-11-05,SP,Gália,city,65,4,True,6482,3516606,1002.77692,0.0615
2020-11-05,SP,Garça,city,726,20,True,44409,3516705,1634.80376,0.0275
2020-11-05,SP,Gastão Vidigal,city,79,12,True,4860,3516804,1625.5144,0.1519
2020-11-05,SP,Gavião Peixoto,city,232,1,True,4815,3516853,4818.27622,0.0043
2020-11-05,SP,General Salgado,city,227,2,True,10862,3516903,2089.85454,0.0088
2020-11-05,SP,Getulina,city,252,2,True,11447,3517000,2201.45016,0.0079
2020-11-05,SP,Glicério,city,54,2,True,4829,3517109,1118.24394,0.037
2020-11-05,SP,Guaiçara,city,549,5,True,12294,3517208,4465.59297,0.0091
2020-11-05,SP,Guaimbê,city,63,3,True,5785,3517307,1089.02334,0.0476
2020-11-05,SP,Guaíra,city,1541,44,True,41040,3517406,3754.87329,0.0286
2020-11-05,SP,Guapiaçu,city,985,30,True,21775,3517505,4523.53617,0.0305
2020-11-05,SP,Guapiara,city,133,10,True,17025,3517604,781.20411,0.0752
2020-11-05,SP,Guará,city,546,21,True,21308,3517703,2562.41787,0.0385
2020-11-05,SP,Guaraçaí,city,81,1,True,8290,3517802,977.08082,0.0123
2020-11-05,SP,Guaraci,city,261,5,True,11287,3517901,2312.39479,0.0192
2020-11-05,SP,Guarani d'Oeste,city,51,0,True,1998,3518008,2552.55255,0.0
2020-11-05,SP,Guarantã,city,144,2,True,6675,3518107,2157.30337,0.0139
2020-11-05,SP,Guararapes,city,583,7,True,33100,3518206,1761.32931,0.012
2020-11-05,SP,Guararema,city,522,30,True,30136,3518305,1732.1476,0.0575
2020-11-05,SP,Guaratinguetá,city,1706,53,True,122505,3518404,1392.59622,0.0311
2020-11-05,SP,Guareí,city,1989,6,True,18887,3518503,10531.05311,0.003
2020-11-05,SP,Guariba,city,1197,33,True,40487,3518602,2956.50456,0.0276
2020-11-05,SP,Guarujá,city,9580,381,True,322750,3518701,2968.24167,0.0398
2020-11-05,SP,Guarulhos,city,22848,1546,True,1392121,3518800,1641.23665,0.0677
2020-11-05,SP,Guatapará,city,130,3,True,7709,3518859,1686.34064,0.0231
2020-11-05,SP,Guzolândia,city,71,3,True,5307,3518909,1337.85566,0.0423
2020-11-05,SP,Herculândia,city,76,4,True,9588,3519006,792.65749,0.0526
2020-11-05,SP,Holambra,city,412,3,True,15272,3519055,2697.74751,0.0073
2020-11-05,SP,Hortolândia,city,6757,152,True,234259,3519071,2884.41426,0.0225
2020-11-05,SP,Iacanga,city,293,5,True,11858,3519105,2470.90572,0.0171
2020-11-05,SP,Iacri,city,40,0,True,6295,3519204,635.42494,0.0
2020-11-05,SP,Iaras,city,73,3,True,9517,3519253,767.04844,0.0411
2020-11-05,SP,Ibaté,city,395,5,True,35472,3519303,1113.55435,0.0127
2020-11-05,SP,Ibirá,city,403,10,True,12518,3519402,3219.36412,0.0248
2020-11-05,SP,Ibirarema,city,142,5,True,7841,3519501,1810.9935,0.0352
2020-11-05,SP,Ibitinga,city,1618,45,True,60600,3519600,2669.967,0.0278
2020-11-05,SP,Ibiúna,city,452,27,True,79479,3519709,568.70368,0.0597
2020-11-05,SP,Icém,city,167,3,True,8304,3519808,2011.079,0.018
